id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54126420,Home in Albany · ★4.80 · 1 bedroom · 1 bed · 1 bath,37769478,Erion,,TENTH WARD,42.66261,-73.79026,Entire home/apt,98,1,55,5/27/2023,3.89,7,323,47,
677623197606854496,Rental unit in Albany · ★4.85 · 2 bedrooms · 2 beds · 1 bath,203631769,Johnny,,SECOND WARD,42.64531,-73.75963,Entire home/apt,65,2,27,5/27/2023,2.28,1,142,27,
610090811367811938,Rental unit in Albany · ★4.91 · 2 bedrooms · 3 beds · 1 bath,40548251,Reyana,,NINTH WARD,42.652049,-73.7949665,Entire home/apt,109,2,22,8/6/2023,2.44,1,238,22,
742946641797303970,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,479114612,Anilexa,,SECOND WARD,42.64469,-73.761,Entire home/apt,86,3,1,11/23/2022,0.12,1,358,1,
921076441920995839,Rental unit in Albany · ★New · 1 bedroom · 1 bed · 1 bath,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,61,7,0,,,1,248,0,
7062955,Rental unit in Albany · ★4.14 · 1 bedroom · 1 bed · 1.5 baths,37035085,George,,SIXTH WARD,42.65901,-73.76647,Entire home/apt,68,30,7,6/16/2023,0.09,4,282,1,
882229561343619620,Rental unit in Albany · ★4.89 · 1 bedroom · 1 bed · 1 bath,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,77,1,9,7/22/2023,3.21,1,157,9,
841524433909352403,Rental unit in Albany · ★4.71 · 2 bedrooms · 2 beds · 1 bath,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,2,7,7/30/2023,4.88,2,343,7,
798715218269100922,Rental unit in Albany · ★4.67 · 1 bedroom · 1 bed · 1 bath,491607190,Abba,,SIXTH WARD,42.65038,-73.76664,Entire home/apt,105,1,3,3/19/2023,0.49,5,29,3,
798448539017629897,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,222612368,Patrick,,SIXTH WARD,42.65315,-73.77012,Entire home/apt,75,30,2,5/18/2023,0.43,1,312,2,
934744844940967492,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,456511812,Evolve,,SIXTH WARD,42.65506,-73.76401,Entire home/apt,96,2,0,,,1,364,0,
8539096,Home in Albany · ★4.88 · 5 bedrooms · 6 beds · 5 baths,19648678,Terra,,NINTH WARD,42.65601,-73.7756,Entire home/apt,750,3,66,8/16/2022,0.7,7,364,1,
8035784,Home in Albany · ★4.61 · 1 bedroom · 1 bed · 2.5 shared baths,42430824,John M,,TENTH WARD,42.66063,-73.78115,Private room,199,3,18,7/25/2020,0.19,2,179,0,
817160514282672518,Townhouse in Albany · 1 bedroom · 1 bed · 1 bath,121680792,Evolve,,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,9,320,0,
45334218,Home in Albany · 3 bedrooms · 3 beds · 1 private bath,89705052,Share,,TENTH WARD,42.65842,-73.77869,Private room,250,2,0,,,4,6,0,
843481456379840308,Rental unit in Albany · 3 bedrooms · 2 beds · 1 bath,188679144,Elizabeth,,SIXTH WARD,42.65481,-73.76352,Entire home/apt,130,1,1,3/21/2023,0.21,8,364,1,
733964865705013296,Rental unit in Albany · 1 bedroom · 1 bed · 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,110,14,1,3/26/2023,0.22,1,335,1,
841524382518312215,Rental unit in Albany · ★New · 2 bedrooms · 2 beds · 1 bath,462042479,Natasha,,SIXTH WARD,42.66007584297136,-73.76976949,Entire home/apt,96,6,0,,,2,359,0,
54128829,Townhouse in Albany · ★4.99 · 2 bedrooms · 5 beds · 2 baths,265709295,Richard & Priscela,,SIXTH WARD,42.65594,-73.76591,Entire home/apt,202,1,143,8/7/2023,8,1,327,82,
826301775871257033,Rental unit in Albany · ★4.69 · 2 bedrooms · 2 beds · 1 bath,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,162,1,13,7/23/2023,2.28,2,253,13,
